,name,item
50,apple.com,http://www.wikidata.org/entity/Q29000247
51,apple.com,http://www.wikidata.org/entity/Q29000259
59,yandex.ru,http://www.wikidata.org/entity/Q5281
580,oracle.com,http://www.wikidata.org/entity/Q19900
581,oracle.com,http://www.wikidata.org/entity/Q19900
582,oracle.com,http://www.wikidata.org/entity/Q28974598
583,oracle.com,http://www.wikidata.org/entity/Q28974600
637,pchome.com.tw,http://www.wikidata.org/entity/Q10852079
681,viva.co.id,http://www.wikidata.org/entity/Q12523713
712,bankmellat.ir,http://www.wikidata.org/entity/Q4855944
771,cisco.com,http://www.wikidata.org/entity/Q28973214
809,ibm.com,http://www.wikidata.org/entity/Q5266838
944,bmi.ir,http://www.wikidata.org/entity/Q806640
